characters_araber;Araber
spokentexts_a18_treppensaal_tuer_salon_leave_1_st_1;Je peux voir Legrand dans le salon. Je ne pense pas Gebhardt y serait allé.
sequences_a18_treppensaal_seq_a18_treppensaal_jagd_ankunft#1;[The Arab runs up stairs, stops there and remain still, breathing heavily in hunting pose (idle).]
sequences_a18_treppensaal_seq_a18_treppensaal_jagd_ankunft#2;[The player once again takes control.]
texts_a18_unterdeck_kabine_ermittler_mo_leave_1;Demander de l'aide
spokentexts_a18_unterdeck_kabine_ermittler_leave_1_st_1_direction;on the hunt
spokentexts_a18_unterdeck_kabine_ermittler_leave_1_st_1;Non, il me faudrait trop longtemps pour expliquer la situation ! Je dois m'en occuper moi-même.
sequences_a18_unterdeck_kabine_ermittler_leave_1#2;[The Arab glances toward the door, but then quickly focuses on the stairs.]
texts_a18_unterdeck_krankenstation_tuer_mo_leave_1;Aider le policier suisse
spokentexts_a18_unterdeck_krankenstation_tuer_leave_1_st_1_direction;on the hunt
spokentexts_a18_unterdeck_krankenstation_tuer_leave_1_st_1;Quelqu'un va le trouver !
sequences_a18_unterdeck_krankenstation_tuer_leave_1#2;[The Arab throws back a quick look, but then quickly focuses on the stairs.]
texts_a18_unterdeck_treppe_mo_leave_1;Poursuivre le Dr. Gebhardt
sequences_a18_unterdeck_treppe_leave_1#1;[The Arab starts to go, jump up the stairs.]
sequences_a18_unterdeck_seq_a18_unterdeck_beginn_der_jagd#0;[It can be seen how the doctor is going up the stairs nearly collapsed. The Arab sees him and is almost out the door, but holds himself still on the frame and looks back into the office.]
spokentexts_a18_unterdeck_seq_a18_unterdeck_beginn_der_jagd_st_1;I'll be right back!
sequences_a18_unterdeck_seq_a18_unterdeck_beginn_der_jagd#2;[With two quick steps, he stands in the middle of the room.]
sequences_a18_unterdeck_seq_a18_unterdeck_beginn_der_jagd#3;[The player takes control.]
sequences_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen#0;[The doctor leans over Ohi, who is lying on the floor hallucinating. He wants him to give the lethal injection.]
sequences_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen#1;[The Arab appears behind him . He pulls away the doctor from Ohi hits him with the ashtray. The doctor crashes against the opened door, lies in the entrance. The syringe with the injection gets broken.]
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_1;Non !
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_2_direction;is hit, hurt
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_2;Argh !
sequences_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen#4;[The Arab just checks if the doctor is off. He does not move. So the Arab kneels beside Ohi on the floor, takes his head in his hand to speak with him (idle).]
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_3;Hé, vous allez bien ?
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_4_direction;unintelligible murmur
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_4;Hmelm.
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_5;Ce salaud ne vous a pas injecté la dose mortelle ! Vous serez sur vos pieds rapidement !
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_6_direction;unintelligible murmur
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_6;Pluphuu ?
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_7;Mieux vaut y aller doucement pendant que je...
sequences_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen#10;[As he talks, he takes a look behind him at the door. The doctor is gone.]
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_8_direction;not with me!
spokentexts_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen_st_8;Oh, non !
sequences_a18_krankenstation_seq_a18_krankenstation_arzt_wird_ko_geschlagen#12;[The Arab puts Ohis head on the floor, goes up towards the door to chase the fleeing doctor.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#0;[The Arab holds out his hand to the doctor (idle).]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_1_direction;placatory
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_1;Tout ira très bien maintenant...
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_2_direction;anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_2;Non! ça se termine ici et maintenant !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_3;Pourquoi voulez-vous vous suicider ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_4_direction;a little louder, a little further away
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_4;N'est-ce pas évident ?
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#5;[Cut to a long shot. The butler enters the scene.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#6;[The Arab whirls, then gets back to normal.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#7;[The Arab and the doctor are looking at the butler, who is slowly coming closer and closer, while he speaks.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_5;He can't bear his false, hollow life anymore.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_6_direction;anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_6;Qui êtes-vous ? Que voulez-vous ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_7;Un homme qui comprend l'étiquette et l'honneur mais surtout qui un lâche lui-même.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_8;Et qui, à cause d'une vanité meurtrie, est accablé d'une immense culpabilité.
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#12;[The doctor's  holds up his hands as adefense, then turns to normal position again.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_9_direction;insecure, anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_9;N'approchez pas plus près !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_10_direction;gloomy, threatening
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_10;La Baronne était le miroir de vos actes, n'est-ce pas, docteur ? Et vous n'avez pas supporté ce que vous y avez vu.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_11_direction;dark, sneaky
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_11;Alors, vous avez brisé ce miroir. Mais les péchés du passé vous rattrapent aujourd'hui, n'est-ce pas ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_12_direction;whimpering softly
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_12;Non...
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#17;[The doctor seems to get dizzy, he has to hold on and he goes into crouch. (idle).]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_13_direction;insistently, almost a whisper
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_13;Un crâne aux orbites vides, envahi d'horreur.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_14_direction;determined
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_14;Arrêtez !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_15_direction;loudly insulted
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_15;Oh, bon sang ! Vous savez vraiment comment casser l'ambiance !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_16_direction;offended, reproachfully
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_16;Je l'avais presque !
sequences_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers#22;[The doctor turns to the Arab.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_17_direction;business
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_17;Et vous ? N'étiez-vous pas censé suivre les ordres ? N'étiez-vous pas ici pour m'aider ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_18;Je ne voulais pas...
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_19_direction;loud, aggressive
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_auftritt_des_butlers_st_19;Ce n'était pas une question !
sequences_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft#0;[The doctor is standing on a box on the railing, his looking down. It looks as if he was about to jump.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft#1;"[The Arab comes into the scene, slows down, raises his arms soothingly and getting closer only slowly. The doctor noticed him, makes a ""Stay back!"" A gesture.]"
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft_st_1_direction;desperately anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft_st_1;Restez là !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft_st_2_direction;placatory
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft_st_2;Détendez-vous.
sequences_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft#4;[The doctor puts himself in the speech position (idle), the Arab too.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft_st_3_direction;desperate, whiny
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_jagd_ankunft_st_3;Pourquoi ne pouvez-vous simplement pas laisser tranquille ? C'est toujours la même vieille rengaine !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_1;Je dois faire le sale boulot pour vous dans le musée. Donc, vous ne pouvez pas tirer sur moi OU SUR LUI !
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#3;[The Butler sticks the weapon stronger under the jaw of the Arab, he must hold himself not to shoot him. Finally he relaxes and puts the weapon away.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_4_direction;friendly, relaxed
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_4;Très bien. vous gagnez.
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#5;[The doctor, who has watched the situation, relaxes. Suddenly comes the butler around and pushes him into the water. Screaming the doctor disappears into the depths.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#6;[The Arab runs to the railing, he's  looking down. Then he wants to crash the butler, but before he gets up he gets a punch in the face. The butler grabs him by the neck, while the Arab holding his aching face.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_5_direction;gets a puch by surprise
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_5;Qu'est-ce... HUMPH !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_6;Ne me reparlez plus jamais comme cela, est-ce bien compris ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_7;J'ai besoin de vous pour voler l'oeil. Mais je pourrais être submergé par un sentiment de haine tel que cela me ferais oublier cette raison !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_8;Et il y a des choses pires que je pourrais faire que simplement vous tirez dessus.
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#11;[The butler let go the Arab, stands up normal and smoothes his clothes. The Arab is still kneeling at the rail, looking at the Butler hostile.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_9;Je vous conseille de retourner dans votre cellule. Vous devez être en forme au Caire.
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#13;[The butler leaves the scene and speaks...]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt_st_10;De mon coté, j'ai encore une confession à écrire.
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#15;[Fade out.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_mord_am_arzt#16;[End of section.]
sequences_a18_vorderdeck_seq_a18_vorderdeck_pistole#0;[The Butler pulls out a gun, points it at the doctor.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_1_direction;anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_1;Non !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_2_direction;angry played
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_2;Non, non !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_3_direction;angry played
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_3;Et alors quoi ? Vous vouliez sauter de toute manière ! Ou vous le devriez, du moins.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_4_direction;reproachful
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_4;Inch !
sequences_a18_vorderdeck_seq_a18_vorderdeck_pistole#5;[Butler looks over to the Arab.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_5;Je lui tends juste une main amicale. C'est un lâche. Il a besoin d'un peu de motivation !
sequences_a18_vorderdeck_seq_a18_vorderdeck_pistole#7;[Butler looks back again to the doctor.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_6;Allez, maintenant ! Hop hop! Sautez !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_7_direction;anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_7;Vous êtes le majordome de la baronne, n'est-ce pas ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_8_direction;anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_8;Je... Je ne voulais pas tuer votre maitresse !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_9_direction;jovially
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_9;Oh, arrêtons les inepties ! C'est pardonné et oublié.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_10;Si je peux me permettre...
sequences_a18_vorderdeck_seq_a18_vorderdeck_pistole#13;[The Butler points with the gun and with two nods of his head , the doctor should jump now.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_11_direction;urgently
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_11;Il doit y avoir une autre solution.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_12_direction;anxious
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_12;Pourquoi faites-vous cela ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_13;C'est rien de personnel. Bon, ce n'est pas entièrement vrai. Vous êtes un pitoyable spécimen de l'espèce humaine, n'est-ce pas ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_14;Mais surtout, vous êtes un bon moyen d'arriver à nos fins. Votre mort mènera l'inspecteur Legrand hors de notre chemin.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_15;L'inspecteur ? Qu'ai-je a voir avec lui ?
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_16;Votre lettre ! Celle dans laquelle vous confessez être le Corbeau et le meurtre de la Baronne parce qu'elle vous a percée à jour.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_17;C'est absurde !
sequences_a18_vorderdeck_seq_a18_vorderdeck_pistole#21;[Butler looks over to the Arab.]
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_18;En effet. Mais les gens sont prêt à croire presque à n'importe quoi si cela leur convient.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_19;La presse va adorer ! En gras : L'inspecteur Legrand sauve encore la situation !
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_20;Les interviews, des médailles, des télégrammes urgents de la capitale... Notre cher ami ne sera plus en mesure d'échapper aux feu des projecteurs.
spokentexts_a18_vorderdeck_seq_a18_vorderdeck_pistole_st_21;Et au moment où l'agitation retombera, je serai parti depuis longtemps.
sequences_a18_vorderdeck_seq_a18_vorderdeck_pistole#26;[Butler looks back again to the doctor.]
texts_arzt_top_a18_arzt_alte_geschichten_tseq_title;Histoires anciennes
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_1;Quelles histoires anciennes ?
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_2;Que histoires anciennes voulez-vous parler ?
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_3_direction;desperate, whiny
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_3;Je suis un honnête homme ! Pourquoi me torturez-vous ?
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_4_direction;whiny
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_4;Je... Je... Je l'aimais !
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_5_direction;reproachfully, decided
spokentexts_arzt_top_a18_arzt_alte_geschichten_tseq_st_5;Elle m'a trahi. C'était de sa faute ! J'ai du sang sur mes mains à cause d'elle !
texts_arzt_top_a18_arzt_die_baronin_tseq_title;la baronne
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_1;"Est-ce pour cela que vous l'avez tuée ? La baronne faisait-elle partie de vos ""anciennes histoires"" ?"
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_2;Vous parlez de la baronne ?
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_3;Pourquoi avez-vous tué la baronne ?
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_4_direction;only angry, mild
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_4;Elle... Elle était sa soeur.
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_5_direction;begins to reminisce
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_5;Je l'aimais ! De tout mon coeur.
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_7;Ils étaient juifs, vous savez.
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_8_direction;Seeking recognition
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_8;Mais je m'en fichais. Je les ai caché quand c'était devenu trop dangereux pour eux. J'ai veillé sur eux. Je leur ai apporté de la nourriture.
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_9_direction;Recognition begging
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_9;J'étais encore membre du parti que je l'ai caché ainsi que toute sa famille !
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_10;Vous avez risqué votre vie pour une femme que vous aimiez. Et trente ans plus tard, vous tuez sa soeur ?
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_12_direction;to hisself, reveling in painful memories
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_12;J'ai vu son ventre rebondi ! J'étais tellement en colère...
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_13_direction;comes back to itself, seeking understanding
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_13;C'était l'un d'eux, vous comprenez ?
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_14_direction;only seeking understanding, then evil
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_14;Ils m'ont juste utilisés. Je les ai caché, leur apportait de la nourriture. Et en retour, ils se moquaient de moi derrière mon dos.
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_15_direction;depressed suspects terrible
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_15;Qu'avez-vous fait ?
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_16_direction;reveling in memories, repeating his words from the past
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_16;"""Il y a des Juifs qui se cachent dans la cave de la Waldhof. Des Juifs armés. Nous devons les brûler !"""
sequences_arzt_top_a18_arzt_die_baronin_tseq#19;[The doctor touch his face with his hand.]
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_17_direction;serious statement
spokentexts_arzt_top_a18_arzt_die_baronin_tseq_st_17;Et c'est ce qu'ils ont fait.
texts_arzt_top_a18_arzt_mord_an_baronin_tseq_title;Meurtre de la Baronne
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_1;Le corps de la Baronne dans la cale du navire prouve le contraire.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_2;Et pourquoi êtes-vous redevenu un meurtrier après toutes ces années ?
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_3;Je ne l'avais jamais rencontrée. Elle était en Prusse-Orientale. C'était la soeur aînée, la tête de la famille !
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_4;Elle étudiait l'histoire de l'art à New York. Essayant de faire sortir sa famille de Prusse orientale, mais...
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_5_direction;gloomy, sad
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_5;J'ai pu empêcher cela.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_6;Vous dites que vous l'aimiez et pourtant vous avez voulu la priver ainsi que sa famille d'une vie sans danger ?
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_7_direction;convinced
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_7;Ils étaient en sécurité !
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_8_direction;convinced
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_8;Je les protégeais ! C'était pour eux que j'ai rejoint le parti. J'avais des contacts ! Je les ai enveloppé dans mon étreinte protectrice !
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_9;Vous ne l'avez pas laisser partir parce que vous vouliez la garder près de vous.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_10_direction;regretful
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_10;Elle a envoyée des photos a sa soeur avant la guerre. Elle a dû me reconnaitre hier à Venise. Tout comme je l'ai reconnue.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_11;La baronne fouillait dans ses photos, c'est vrai.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_12;Elle ne pouvait pas m'avoir pendant la guerre. Et après la guerre, j'ai disparu. Je me suis créer un nouveau nom, un nouveau C.V, une nouvelle vie.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_13_direction;gloomy, disparagingly
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_13;Et puis soudain, elle déboule, prête à tout gâcher.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_14;Donc, elle devait mourir.
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_15_direction;convinced reproachfully
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_15;Je ne voulais pas ça ! Elle ne m'a pas donné le choix !
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_16_direction;convinced reproachfully
spokentexts_arzt_top_a18_arzt_mord_an_baronin_tseq_st_16;Pourquoi devait-elle réveiller de vieux démons ?
texts_arzt_top_a18_arzt_mord_an_familie_tseq_title;Assassinat de la famille
spokentexts_arzt_top_a18_arzt_mord_an_familie_tseq_st_1;Vous avez tué toute la famille ?
